email,prefix,first_name,last_name,pronouns,position,department,phone,office,affiliations,audience,teaser_title,teaser_summary
amara.okonkwo@yale.edu,Prof.,Amara ,Okonkwo,she/her,PROFESSOR OF GEOPHYSICS,Earth & Planetary Sciences,(203) 432-0111,KGL 218,Faculty; Geophysics,Prospective Students,Amara Okonkwo,"<p>Studies the <strong>structure of the deep mantle</strong> using seismic tomography, with fieldwork across the East African Rift.</p>"
d.halvorsen@yale.edu,Dr.,Dagny,Halvorsen ,she/her,associate professor of climate science,Earth & Planetary Sciences,203-432-0112,KGL 224,faculty;Climate,"Prospective Students, Researchers",Dagny Halvorsen,"<p>Reconstructs past climate from ice cores and lake sediments. Her group maintains the Yale Paleoclimate Archive, a public dataset of more than four thousand records spanning the last eight hundred thousand years of Earth history.</p>"
rmoreau@yale.edu,,Rafael,Moreau,he/him,POSTDOCTORAL ASSOCIATE,Earth & Planetary Sciences,,KGL 106,Postdocs;Geochemistry,Researchers,Rafael Moreau,<p>Isotope geochemistry of arc volcanism.</p>
s.venkataraman@yale.edu,Prof.,Sunita,Venkataraman,she/her,professor of planetary science,Earth & Planetary Sciences,(203) 432-0114,KGL 310,Faculty;Planetary Science,Prospective Students,Sunita Venkataraman,"<p>Models the interiors of icy moons and leads the department's outreach programme with New Haven public schools.</p>"
tobias.lindqvist@yale.edu,Dr.,Tobias,Lindqvist,he/him,LECTURER,Earth & Planetary Sciences,203.432.0115,KGL 112,Faculty; Teaching,Current Students,Tobias Lindqvist,<p>Teaches introductory geology and field methods.</p>
nia.brathwaite@yale.edu,,Nia,Brathwaite,she/her,phd candidate,Earth & Planetary Sciences,,KGL 004,Graduate Students;Geophysics,Current Students,Nia Brathwaite,"<p>Dissertation work on slow-slip earthquakes in Cascadia, combining GPS time series with laboratory friction experiments on borehole samples recovered from the subduction zone.</p>"
hkoval@yale.edu,Dr.,Henryk,Koval,he/him,RESEARCH SCIENTIST,Earth & Planetary Sciences,(203) 432-0117,KGL 130,Research Staff;Geochemistry,Researchers,Henryk Koval,<p>Runs the noble gas laboratory.</p>
marisol.aguayo@yale.edu,Prof.,Marisol,Aguayo,she/her,PROFESSOR AND DEPARTMENT CHAIR,Earth & Planetary Sciences,(203) 432-0118,KGL 200,Faculty;Administration;Sedimentology,"Prospective Students, Researchers",Marisol Aguayo,<p>Sedimentary basin analysis and the department's academic leadership.</p>
j.oyelaran@yale.edu,,Jide,Oyelaran,they/them,GRADUATE RESEARCH ASSISTANT,Earth & Planetary Sciences,,KGL 008,Graduate Students; Climate,Current Students,Jide Oyelaran,<p>Studies monsoon variability in coupled climate models.</p>
elena.vasquez@yale.edu,Ms.,Elena,Vasquez,she/her,department administrator,Earth & Planetary Sciences,(203) 432-0120,KGL 202,Staff;Administration,Current Students,Elena Vasquez,<p>First point of contact for departmental business and graduate admissions enquiries.</p>
